compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Ag1In5Te8,111,tP14,0.3419,insulator-indirect,36.4973,5.53371,510.962,183.974,76.344,2.29195,43.6899,41.2803,0.817938,8.24043e-05,31.0211,32.8318,14,3,-3.08571,
Ag1La1,221,cP2,0.0,metal,28.7502,7.12652,57.5004,137.054,108.737,2.0641,6.21226,5.94202,1.45764,7.18586e-05,40.4167,42.2548,2,2,-2.75969,
Ag1La1,123,tP2,0.0,metal,28.9674,7.07308,57.9348,158.953,126.198,2.05092,6.18787,5.92171,2.3113,7.13981e-05,40.3357,42.1487,2,2,-2.75771,
Ag1Li1,221,cP2,0.0,metal,16.4831,5.78305,32.9662,194.883,154.772,2.22319,6.72955,5.89462,1.39359,0.000203831,26.0412,29.7297,2,2,-1.36444,
Ag1Li2Sb1,216,cF16,0.4115,insulator-direct,18.6338,5.42483,74.5354,225.981,142.371,2.1685,12.7327,11.7004,1.58384,0.00013126,35.2895,38.4032,4,3,-2.54677,
Ag1Mg1,221,cP2,0.0,metal,18.677,5.87563,37.3541,234.993,186.52,2.27782,6.2657,5.83476,2.76908,0.000104796,46.0493,49.4503,2,2,-1.18944,
Ag1Mg1Sb1,216,cF12,0.0,metal,23.7905,5.90782,71.3714,172.098,119.258,2.23015,9.35146,8.86433,1.19644,8.04574e-05,46.9924,49.5748,3,3,-2.23724,
Ag1Mn3N1,221,cP5,0.0,metal,15.5211,6.13433,77.6056,274.028,160.236,0.840364,14.475,14.3976,16.2358,2.60394e-05,67.1704,67.5314,5,3,-5.9996,
Ag1N1,225,cF8,0.0,metal,12.3042,8.22397,24.6083,277.942,220.649,2.47627,6.07151,5.76416,3.04944,7.02251e-05,113.816,119.885,2,2,-2.67165,
Ag1Na1O1,216,cF12,0.0,metal,15.377,5.28629,46.1311,276.191,191.368,2.25423,9.39792,8.66196,2.42368,0.00012223,47.1465,51.1524,3,3,-2.89484,0.129821
Ag1Nb1O3,221,cP5,1.7706,insulator-indirect,12.8026,6.45335,64.0129,515.887,301.759,2.12024,13.2952,13.02,12.2468,3.30766e-05,178.286,182.054,5,3,-6.76521,
