compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Al4Er2,227,cF24,0.0,metal,19.9274,6.1448,119.564,374.087,205.82,1.85029,17.1331,16.7008,9.53999,4.61557e-05,76.7983,78.786,6,2,-4.52737,
Al4Er2Ni2,63,oS16,0.0,metal,17.4234,6.6693,139.387,357.031,178.5,1.91669,23.0043,22.4151,5.75013,4.53016e-05,93.342,95.7956,8,3,-4.12945,
Al4Er8,62,oP12,0.0,metal,25.6387,7.80446,307.664,233.001,101.772,1.65191,35.796,34.9694,3.30151,4.6989e-05,55.1908,56.4955,12,2,-4.58723,
Al4Fe6Si8,63,oS36,0.0,metal,12.3259,4.99727,221.867,664.222,253.363,2.10997,43.7505,42.8285,8.27137,3.39226e-05,163.211,166.725,18,3,-4.7474,
Al4Gd4O12,62,oP20,4.9566,insulator-direct_spin-polarized,10.6765,7.22382,213.531,595.98,219.568,1.96091,50.6796,49.7025,7.79564,3.33504e-05,186.554,190.221,20,3,-9.76677,
Al4Ge2La4,63,oS20,0.0,metal,26.1049,5.14434,261.049,329.034,152.708,1.854,29.0428,28.3148,5.51251,4.55162e-05,61.0207,62.5898,10,3,-4.94285,
Al4H12,227,cF64,3.1727,insulator-indirect,11.3548,1.097,181.677,889.43,353.197,1.56081,33.0914,31.9405,8.34334,7.72637e-05,45.5724,47.2145,16,2,-3.47856,-0.002912
Al4Hg2S8,227,cF56,1.3021,insulator-indirect,20.0961,4.51859,281.346,328.055,136.092,2.07554,41.0287,39.6691,2.11564,5.43777e-05,73.871,76.4028,14,3,-4.27879,-0.808302
Al4Hg2Se8,227,cF56,0.3908,insulator-indirect,23.7587,5.69512,332.622,240.044,99.5792,2.13493,42.4058,40.7505,1.22804,6.22707e-05,57.8195,60.1681,14,3,-3.75715,-0.654498
Al4Ho2,227,cF24,0.0,metal,20.1132,6.02394,120.679,375.055,206.37,1.8356,17.1185,16.6939,9.71003,4.57474e-05,76.1391,78.0755,6,2,-4.53692,-0.518328
Al4Ho8,62,oP12,0.0,metal,26.0116,7.59341,312.14,225.0,98.2778,1.64769,35.8615,35.0337,2.96462,4.71714e-05,54.0785,55.3564,12,2,-4.59413,-0.300498
Al4I2La4,194,hP10,0.0,metal,29.9947,5.07858,299.947,283.012,131.357,2.02441,29.713,28.7536,3.44216,5.4141e-05,49.2944,50.9391,10,3,-4.50583,
Al4La1,139,tI10,0.0,metal,21.4842,3.81558,107.421,289.981,169.593,1.9793,14.8376,14.3471,2.97362,5.66835e-05,64.2902,66.4882,5,2,-4.27822,
Al4La10Ru6,199,cI40,0.0,metal,25.428,6.86799,508.56,233.039,85.8379,1.87677,59.686,58.2819,1.54783,4.23712e-05,69.6353,71.313,20,3,-5.2129,
Al4La2,227,cF24,0.0,metal,22.8595,4.67005,137.157,354.935,195.364,1.90394,17.3245,16.8279,6.99499,5.11371e-05,62.6168,64.4647,6,2,-4.55291,
Al4La4,63,oS16,0.0,metal,27.1262,5.07742,217.01,279.923,140.0,1.81326,23.6738,23.0131,4.30039,5.21659e-05,50.6102,52.0631,8,2,-4.63841,
Al4Li4,194,hP8,0.0,metal,18.6325,1.5116,149.06,584.135,292.0,1.86856,21.1576,20.0715,6.64929,9.55175e-05,35.4503,37.3685,8,2,-2.92206,-0.0977631
Al4Li4O8,92,tP16,4.5894,insulator-direct,10.8189,2.52948,173.103,788.066,312.718,1.89066,35.5852,34.7781,8.098,4.0943e-05,125.125,128.029,16,3,-6.62708,-2.74935
Al4Mg2O8,227,cF56,5.1166,insulator-indirect,9.73303,3.46739,136.262,809.086,335.665,1.90248,30.4768,29.9326,11.24,3.18823e-05,177.336,180.56,14,3,-7.10853,-2.99351
Al4Mg2O8,63,oS28,4.8547,insulator-direct,8.79463,3.83737,123.125,878.045,364.294,1.92014,28.7912,28.2958,13.6176,3.04423e-05,195.905,199.335,14,3,-7.00033,-2.8853
Al4Mn2S8,227,cF56,1.7721,insulator-indirect_spin-polarized,19.1651,2.93526,268.311,422.009,175.093,1.9555,39.3085,38.1951,3.13183,4.92869e-05,77.1262,79.3743,14,3,-5.50116,
Al4Ni2Y2,63,oS16,0.0,metal,17.8024,4.70015,142.42,420.901,210.5,1.93736,22.4069,21.8351,6.69616,4.47112e-05,90.4893,92.8592,8,3,-4.60684,
Al4O10Si2,63,oS32,5.4565,insulator-direct,9.49682,3.54175,151.949,886.232,351.609,1.9362,32.6124,32.1265,12.8372,2.60767e-05,212.874,216.093,16,3,-7.54403,-2.8482
Al4O12Y4,62,oP20,5.5421,insulator-indirect,10.4772,5.19488,209.544,699.102,257.514,1.96509,47.2784,46.424,8.78906,3.12063e-05,189.412,192.898,20,3,-8.32033,-3.3203
Al4O6,167,hR10,,,8.74926,3.87028,87.4926,951.015,441.415,1.91619,19.2443,18.9653,21.7995,2.56641e-05,218.618,221.834,10,2,-7.48168,-3.02557
Al4O8Pb2,40,oS28,3.9547,insulator-direct,14.735,5.2348,206.29,491.021,203.722,1.92899,37.8013,36.9339,6.38406,4.03914e-05,116.547,119.284,14,3,-6.92964,-2.51301
Al4O8Zn2,227,cF56,4.4888,insulator-indirect,9.5108,4.57291,133.151,757.013,314.089,1.91026,31.7367,31.1525,11.6634,3.27407e-05,184.982,188.451,14,3,-6.69765,-2.62943
Al4Pb2S8,66,oS28,2.6008,insulator-direct,23.835,3.87557,333.69,340.97,141.485,1.96182,40.728,39.4758,2.89392,5.33256e-05,59.6729,61.5658,14,3,-4.91008,-0.953321
Al4Pd20,62,oP24,0.0,metal,14.8444,10.4216,356.265,286.099,99.1507,2.52228,71.4884,68.9579,0.991279,4.7751e-05,139.365,144.48,24,2,-3.29297,
Al4Pd4,198,cP8,0.0,metal,14.5793,7.59589,116.634,377.938,189.0,2.2828,22.9268,22.249,4.20196,4.39844e-05,135.085,139.201,8,2,-4.09537,
Al4Pd4Tb4,62,oP12,0.0,metal,20.0635,8.06417,240.762,233.044,101.772,2.01893,35.9466,34.9691,1.58928,4.55875e-05,88.3044,90.7727,12,3,-4.52918,
Al4Pd4Y4,62,oP12,0.0,metal,20.0121,6.14822,240.146,259.966,113.565,2.01897,35.6937,34.7276,1.67832,4.53372e-05,88.4406,90.901,12,3,-5.14853,
Al4Pt12,127,tP16,0.0,metal,14.7845,17.1914,236.553,271.999,107.943,2.43201,47.2134,46.1337,1.97832,3.17741e-05,204.575,209.362,16,2,-4.34392,
Al4Pt4,198,cP8,0.0,metal,14.5693,12.6554,116.554,325.96,163.0,2.23771,23.1922,22.6681,4.6761,3.41423e-05,174.576,178.613,8,2,-4.74278,
Al4Pt8,62,oP12,0.0,metal,14.6189,15.795,175.426,264.928,115.749,2.36178,35.4897,34.6668,2.13756,3.32022e-05,192.446,197.015,12,2,-4.54748,
Al4Ru2,70,oF24,0.1204,insulator-indirect,13.9086,6.16976,83.4517,554.865,305.428,2.03767,15.5771,15.2813,15.7209,3.1561e-05,161.141,164.26,6,2,-5.1367,
Al4S8Sr2,66,oS28,3.8953,insulator-indirect,24.0873,2.65731,337.222,421.941,175.093,1.95707,39.3849,38.2012,3.83887,5.23602e-05,57.7868,59.5773,14,3,-5.13315,-1.46513
Al4S8Zn2,227,cF56,2.4694,insulator-indirect,18.0979,3.24523,253.37,477.991,198.329,1.98513,38.2798,37.2062,4.51413,4.80863e-05,82.649,85.0338,14,3,-4.55253,
Al4Sc2,227,cF24,0.0,metal,18.6049,2.94293,111.629,571.049,314.233,1.92655,15.5427,15.1515,13.6244,4.44494e-05,79.9054,81.9683,6,2,-4.6652,
Al4Se8Sr2,66,oS28,2.973,insulator-indirect,27.6289,3.9274,386.805,303.889,126.134,1.9761,41.4102,39.9951,2.49112,5.89078e-05,47.5657,49.2487,14,3,-4.57436,-1.27417
Al4Se8Zn2,227,cF56,1.5792,insulator-indirect,21.6121,4.77668,302.569,323.082,134.017,2.0499,41.1609,39.7408,2.41942,5.73374e-05,64.3302,66.6289,14,3,-3.96143,
Al4Sr2,227,cF24,0.0,metal,23.7299,3.30251,142.379,371.947,204.719,1.97968,17.4936,16.7402,5.50233,7.44256e-05,42.9113,44.8426,6,2,-3.31294,-0.256049
Al4Tb2,227,cF24,0.0,metal,20.47,5.75655,122.82,370.949,204.169,1.81811,17.1413,16.7207,9.39143,4.5716e-05,74.2207,76.0879,6,2,-4.56051,
Al4Tb8,62,oP12,0.0,metal,26.7167,7.1442,320.6,221.049,96.5306,1.61802,35.8806,35.0687,2.8517,4.70412e-05,51.8437,53.0439,12,2,-4.62017,
Al4Th2,227,cF24,0.0,metal,22.9614,6.89441,137.768,295.045,162.345,1.88857,17.5721,17.1785,6.0557,3.99188e-05,81.4972,83.3645,6,2,-5.05063,
Al4Th6,127,tP10,0.0,metal,29.4274,8.46514,294.274,191.952,89.1185,1.74761,29.9354,29.4047,2.40255,3.42347e-05,70.0387,71.3027,10,2,-5.71315,
Al4Y2,227,cF24,0.0,metal,20.3576,3.88454,122.145,466.07,256.45,1.86883,16.446,16.0368,11.7594,4.51062e-05,74.378,76.276,6,2,-5.18421,-0.534111
Al4Y8,62,oP12,0.0,metal,26.7232,4.24186,320.678,296.975,129.727,1.62563,35.1058,34.3341,4.07048,4.55713e-05,52.5187,53.699,12,2,-5.87305,-0.31642
Al4Yb2,227,cF24,0.0,metal,21.1868,5.93055,127.121,335.002,184.358,1.9888,17.7148,16.9694,6.13651,7.22106e-05,50.6131,52.8362,6,2,-3.2062,
Al5Ba5Sn1,187,hP11,0.0,metal,32.9622,4.30608,362.584,215.036,96.6735,1.91745,33.7198,32.2152,1.53304,7.92388e-05,29.6723,31.0582,11,3,-3.26818,
Al5Ca5Si5,187,hP15,0.0,metal,22.302,2.36146,334.53,490.05,198.685,2.00129,41.0405,39.6362,4.38548,5.83744e-05,55.5485,57.5166,15,3,-4.11192,-0.389131
Al6B4Ru8,123,tP18,0.0,metal,11.8709,7.87768,213.676,559.035,213.298,2.04845,46.4826,45.7395,7.86864,2.63465e-05,228.266,231.974,18,3,-5.93447,
Al6C2Zr10,193,hP18,0.0,metal,18.8361,5.37814,339.05,457.03,174.378,1.76407,49.0516,48.2803,7.52648,3.00676e-05,114.516,116.346,18,3,-7.5273,-0.508486
Al6C6Dy2,194,hP14,0.0,metal,12.6594,5.23704,177.231,701.17,290.854,1.87522,33.027,32.4582,16.1469,3.11242e-05,150.287,152.921,14,3,-6.50935,
Al6C6Er2,194,hP14,0.0,metal,12.4992,5.39447,174.989,698.875,290.024,1.86946,33.0772,32.5099,16.322,3.10827e-05,152.188,154.843,14,3,-6.52745,
Al6C6Gd2,194,hP14,0.0,metal,12.8403,5.06624,179.765,694.148,287.95,1.86965,33.195,32.6175,15.5586,3.154e-05,146.187,148.776,14,3,-7.78842,
Al6C6Ho2,194,hP14,0.0,metal,12.5735,5.31866,176.029,698.916,290.024,1.87268,33.078,32.509,16.161,3.1126e-05,151.287,153.935,14,3,-6.51813,-0.309507
Al6C6Sc2,186,hP14,0.3017,insulator-indirect,11.8792,3.23372,166.308,908.122,376.741,1.85914,27.9855,27.5762,20.3263,2.66798e-05,156.263,158.582,14,3,-6.6315,
Al6C6Tb2,194,hP14,0.0,metal,12.7463,5.1348,178.448,700.91,290.854,1.88092,33.0269,32.4551,15.871,3.12082e-05,149.237,151.866,14,3,-6.49936,
Al6C6Y2,194,hP14,0.0,metal,12.667,3.85566,177.338,807.855,335.25,1.87716,30.4389,29.9524,18.1961,2.88798e-05,148.99,151.409,14,3,-6.77266,-0.293395
Al6C8Hf4,194,hP18,0.0,metal,11.8599,7.56024,213.478,648.856,247.64,1.8741,43.9123,43.2552,14.3452,2.69725e-05,192.325,195.247,18,3,-8.05527,-0.497724
Al6C8Zr4,194,hP18,0.0,metal,12.1551,4.72722,218.792,789.912,301.441,1.89667,39.6229,39.0662,16.2974,2.50622e-05,183.981,186.603,18,3,-7.7039,-0.459525
Al6Ca6Si6,186,hP18,0.0,metal,22.29,2.36273,401.22,480.143,183.154,1.99001,49.4662,47.7968,3.69663,5.78599e-05,55.9255,57.8788,18,3,-4.11023,-0.387439
Al6Hf10N2,193,hP18,0.0,metal,17.8395,10.2122,321.111,305.021,116.379,1.74696,52.147,51.348,4.03278,2.94985e-05,130.311,132.339,18,3,-8.37989,-0.678324
Al6Hf2,139,tI16,0.0,metal,17.1938,6.26392,137.55,445.946,223.0,1.90758,22.094,21.5832,10.4611,4.1076e-05,99.7348,102.095,8,2,-5.6922,-0.396289
Al6Hf6Pt6,190,hP18,0.0,metal,17.4055,12.7383,313.3,296.936,113.327,2.04532,52.4284,51.493,3.18944,2.93906e-05,157.025,159.878,18,3,-6.78963,
Al6Ir2,194,hP8,0.0,metal,15.3866,7.37004,123.093,330.042,165.0,2.06135,23.1577,22.6404,3.62527,3.65354e-05,143.11,146.38,8,2,-4.99589,
Al6Os2U4,194,hP12,0.0,metal,19.9591,10.3609,239.509,294.082,128.416,2.00565,35.2312,34.3731,4.12965,4.09884e-05,96.7818,99.1979,12,3,-6.47555,
Al6Pt10,55,oP16,0.0,metal,14.5744,15.045,233.191,268.068,106.356,2.33615,47.2773,46.1887,1.77203,3.32687e-05,190.966,195.467,16,2,-4.60085,
Al6Pt6Zr6,190,hP18,0.0,metal,17.8208,9.73079,320.775,317.944,121.34,2.03216,52.0751,51.1321,3.13026,3.00475e-05,147.884,150.611,18,3,-6.31921,
Al6Th2,194,hP8,0.0,metal,21.8297,5.95198,174.638,312.933,156.5,1.97783,23.3749,22.7756,4.35912,4.38776e-05,80.8766,83.0049,8,2,-4.81349,
Al6Zr2,139,tI16,0.0,metal,17.4356,4.09918,139.485,555.826,278.0,1.90959,20.8358,20.3748,13.5073,3.9322e-05,96.5078,98.6916,8,2,-5.4312,-0.487618
Al7Cu16Yb6,225,cF116,0.0,metal,16.6792,7.70318,483.696,285.897,93.0894,2.1593,87.6372,83.3809,1.05698,7.71853e-05,65.5944,68.9427,29,3,-2.56987,
Al7Cu16Zr6,225,cF116,0.0,metal,14.7097,6.82356,426.582,415.099,135.077,2.12993,81.8275,79.3859,2.49352,4.76973e-05,112.406,115.864,29,3,-4.19363,
Al8B4Re12,227,cF96,0.0,metal,13.0282,13.2423,312.676,364.973,126.538,2.05659,68.0406,67.008,3.4084,2.48347e-05,244.232,247.996,24,3,-6.89392,
Al8Ba4Ge8,62,oP20,0.0,metal,24.5217,4.55701,490.433,301.037,110.889,2.11674,59.838,57.2157,1.62676,7.08103e-05,47.7451,49.9333,20,3,-4.08254,-0.398826
Al8Ba4Si8,62,oP20,0.0,metal,23.6466,3.47554,472.932,369.844,136.309,2.01048,57.8604,55.8145,2.4526,5.98479e-05,54.5043,56.5022,20,3,-4.34849,-0.296768
Al8C2O8,36,oS36,3.816,insulator-indirect,12.7059,2.67094,228.707,745.098,284.271,1.87543,41.13,40.4067,8.40465,3.18323e-05,141.262,143.79,18,3,-7.17942,-2.29951
Al8C4Mo12,213,cP24,0.0,metal,13.7488,7.1217,329.971,424.961,147.339,2.00211,66.3523,65.3491,3.29673,2.54263e-05,214.485,217.777,24,3,-6.95509,
Al8C4Nb12,213,cP24,0.0,metal,15.1392,6.30126,363.341,565.996,196.221,1.92329,61.545,60.7047,8.56073,2.39422e-05,183.641,186.183,24,3,-7.49625,
Al8C4Ta12,213,cP24,0.0,metal,15.1268,11.1388,363.044,434.022,150.459,1.91205,65.9774,65.0779,6.89445,2.39775e-05,196.644,199.362,24,3,-8.28079,
Al8C8Si2,186,hP18,0.0,metal,11.6721,2.90941,210.098,684.953,261.376,1.87184,43.0266,42.2047,6.37861,3.46386e-05,147.654,150.529,18,3,-6.26083,0.103543
Al8Ce2Ni2,63,oS24,0.0,metal,17.4797,4.85657,209.756,464.136,202.671,2.00241,32.9792,32.1083,6.4118,4.49915e-05,92.7308,95.2459,12,3,-3.97408,
Al8Co2La2,51,oP12,0.0,metal,18.1807,4.65452,218.168,453.032,197.866,1.9531,33.14,32.277,6.36347,4.5265e-05,87.2581,89.5914,12,3,-4.2158,
Al8Dy12,136,tP20,0.0,metal,25.7607,6.98055,515.215,236.044,86.9431,1.66544,59.5916,58.2302,2.15715,4.60621e-05,56.5184,57.8398,20,2,-4.58238,
Al8Dy1Mn4,139,tI26,0.0,metal,14.7141,5.19216,191.284,543.126,230.933,2.02307,34.1523,33.3492,8.09772,3.94791e-05,121.877,124.812,13,3,-4.36421,
Al8Er12,136,tP20,0.0,metal,25.0969,7.35416,501.938,249.993,92.1008,1.72833,59.4392,58.02,2.40611,4.66459e-05,58.9605,60.4027,20,2,-4.56547,
Al8Er1Mn4,139,tI26,0.0,metal,14.6134,5.26956,189.974,542.034,230.507,2.02401,34.1752,33.371,8.09491,3.94845e-05,122.598,125.552,13,3,-4.36066,
Al8Er2Ni2,63,oS24,0.0,metal,16.9154,5.46263,202.984,416.999,182.142,1.98023,33.7731,32.8191,5.1415,4.84481e-05,89.9899,92.6057,12,3,-4.12208,
Al8Er8,57,oP16,0.0,metal,22.9426,7.02942,367.081,289.008,114.69,1.76054,47.0559,45.8986,3.5155,4.71938e-05,64.163,65.7809,16,2,-4.56732,
Al8Fe4La1,139,tI26,0.0,metal,16.51,4.47298,214.63,444.641,189.254,2.6699,37.8312,35.1706,2.4668,8.79078e-05,71.0777,76.4548,13,3,-4.49852,
Al8Fe4Y1,139,tI26,0.0,metal,15.8824,4.24759,206.472,396.973,168.84,2.11244,37.3441,35.8911,2.61203,6.25345e-05,80.7367,84.0054,13,3,-4.64304,
Al8Hf12,136,tP20,0.0,metal,19.8012,9.88605,396.023,303.955,111.995,1.77201,58.0328,57.074,4.01457,3.14133e-05,111.735,113.612,20,2,-7.79891,-0.329721
Al8Hf4,194,hP12,0.0,metal,17.335,7.42231,208.02,428.108,186.946,1.9081,33.328,32.641,8.44045,3.64702e-05,112.649,115.02,12,2,-6.2567,-0.443346
Al8Ho12,136,tP20,0.0,metal,25.4175,7.17009,508.35,244.976,90.2588,1.70989,59.507,58.0963,2.29906,4.66819e-05,57.7681,59.1709,20,2,-4.57154,-0.332917
Al8In6Sr22,225,cF144,0.0,metal,37.6291,3.472,1354.65,200.089,60.5707,1.85995,111.197,105.784,0.575649,8.91196e-05,22.4817,23.6323,36,3,-2.55556,
Al8Mg4,141,tI24,0.0,metal,18.3894,2.35584,220.672,350.734,153.313,2.18559,35.8211,33.7751,1.19206,9.05266e-05,50.5579,53.6206,12,2,-2.95503,0.00123717
Al8Mo3,12,mS22,0.0,metal,15.2828,4.97511,168.11,594.866,267.538,1.96181,27.8878,27.3599,12.8291,3.26848e-05,133.346,135.918,11,2,-5.247,
Al8N4Nb12,213,cP24,0.0,metal,14.7858,6.48923,354.859,559.908,194.141,1.96307,61.8196,60.9379,7.91366,2.45011e-05,188.267,190.991,24,3,-7.56326,
Al8Ni2Tb2,63,oS24,0.0,metal,17.1937,5.24006,206.324,424.031,185.199,1.9559,33.6326,32.7118,5.44106,4.75679e-05,88.8014,91.3012,12,3,-4.14552,
Al8O12,60,oP20,5.3126,insulator-direct,8.56129,3.95526,171.226,956.022,352.193,1.92314,38.3429,37.7814,13.7281,2.5837e-05,221.85,225.147,20,2,-7.38854,-2.93243
Al8O20Si4,58,oP32,4.8388,insulator-direct,10.9951,3.05912,351.843,898.82,283.167,1.92413,64.4979,63.5567,8.99218,2.57078e-05,182.943,185.652,32,3,-7.65246,-2.95664
Al8Sb8,205,cP16,0.0,metal,27.54,4.48392,440.641,293.938,116.674,2.15016,47.7872,45.8694,1.94949,6.37151e-05,48.3552,50.377,16,2,-3.98417,-0.167731
Al8Tb12,136,tP20,0.0,metal,26.1,6.75335,522.001,233.009,85.8379,1.61996,59.5945,58.2798,2.17162,4.55088e-05,55.1683,56.4128,20,2,-4.59424,
Al8Tb8,57,oP16,0.0,metal,23.6817,6.5178,378.908,290.934,115.483,1.7412,47.0132,45.8684,3.55813,4.72323e-05,61.3108,62.8411,16,2,-4.60304,
Al8Y12,136,tP20,0.0,metal,26.0114,4.09439,520.227,325.071,119.731,1.70276,58.0211,56.6937,3.19249,4.53362e-05,56.2494,57.5664,20,2,-5.73337,-0.358038
Al8Zr10,193,hP18,0.0,metal,19.9756,5.20961,359.561,365.97,139.655,1.74432,51.155,50.254,4.15339,3.3927e-05,98.7643,100.535,18,2,-6.82904,-0.418764
Al8Zr12,136,tP20,0.0,metal,20.5479,5.29525,410.958,388.076,142.94,1.77673,56.2914,55.3306,4.67496,3.23549e-05,101.443,103.204,20,2,-7.0252,-0.401585
Al8Zr4,194,hP12,0.0,metal,17.8107,4.51193,213.729,540.951,236.304,1.92133,31.4447,30.8125,10.5841,3.54324e-05,107.021,109.216,12,2,-5.8835,-0.539907
Al8Zr4,194,hP12,0.0,metal,17.814,4.51109,213.768,540.972,236.304,1.91935,31.4488,30.8173,10.6079,3.541e-05,107.044,109.237,12,2,-5.8835,-0.539906
Al8Zr4,194,hP12,0.0,metal,17.8035,4.51377,213.641,540.924,236.304,1.92535,31.4478,30.8127,10.5362,3.55257e-05,106.952,109.157,12,2,-5.88385,-0.540259
Al8Zr4,194,hP12,0.0,metal,17.8098,4.51216,213.718,541.033,236.304,1.91879,31.4476,30.8164,10.6146,3.54073e-05,107.019,109.211,12,2,-5.88348,-0.539889
Al9Ba1Co2,191,hP12,0.0,metal,17.6313,3.90877,211.575,512.099,223.637,2.00832,32.2545,31.3344,6.98161,4.83629e-05,83.6187,86.074,12,3,-3.82381,
Al9Ba1Ni2,191,hP12,0.0,metal,18.0297,3.81866,216.356,443.015,193.498,2.09742,33.6431,32.4532,4.13762,5.75359e-05,74.7367,77.4768,12,3,-3.65692,
Al9Co2Sr1,191,hP12,0.0,metal,17.2622,3.59385,207.147,540.816,236.304,1.99602,31.7099,30.8348,7.46179,4.70918e-05,85.7442,88.1776,12,3,-3.79586,
Al9Er3Ni6,191,hP18,0.0,metal,15.6127,6.4805,281.028,426.044,162.549,1.98511,50.3245,49.0247,4.43042,4.41663e-05,106.966,109.802,18,3,-3.9402,
As1,221,cP1,0.0,metal,20.4262,6.09072,20.4262,264.919,265.0,2.2444,3.01188,2.89137,7.55152,5.96025e-05,74.8834,78.0047,1,1,-4.5407,0.111726
As12Co4,204,cI32,0.0,metal,17.5386,6.71507,280.618,428.996,170.249,2.24098,44.9571,43.54,4.54874,4.80406e-05,98.7734,101.988,16,2,-4.4943,
As12Co4,204,cI32,0.0,metal,17.5448,6.71269,280.717,428.012,169.852,2.24546,44.9832,43.5594,4.49766,4.81554e-05,98.7601,101.988,16,2,-4.49439,
As12Co4,204,cI32,0.0,metal,17.5434,6.71322,280.695,429.981,170.646,2.24218,44.93,43.5137,4.57531,4.80384e-05,98.7258,101.939,16,2,-4.49428,
As12Co4,204,cI32,0.0,metal,17.5448,6.71269,280.717,428.012,169.852,2.24546,44.9832,43.5594,4.49766,4.81554e-05,98.7601,101.988,16,2,-4.49439,
As12Co4,204,cI32,0.0,metal,17.5469,6.71189,280.751,435.123,172.63,2.24582,44.8166,43.4054,4.72015,4.79345e-05,98.7997,102.012,16,2,-4.49425,
As12Co4,204,cI32,0.0,metal,17.5412,6.71407,280.66,430.025,170.646,2.24555,44.9242,43.5062,4.56055,4.80586e-05,98.7517,101.97,16,2,-4.49434,
As12Co4,204,cI32,0.0,metal,17.5276,6.71928,280.442,427.047,169.455,2.24499,44.9848,43.5646,4.46794,4.80823e-05,98.8215,102.043,16,2,-4.49432,
As12Ir4,204,cI32,0.0,metal,19.6431,8.81253,314.289,372.088,147.628,2.29992,45.7244,44.5781,4.27218,3.69613e-05,121.155,124.27,16,2,-5.45868,
As12Ir4,204,cI32,0.0,metal,19.6341,8.81654,314.146,372.073,147.628,2.29842,45.7341,44.5866,4.27824,3.69837e-05,121.14,124.257,16,2,-5.45874,
As12Ir4,204,cI32,0.0,metal,19.6431,8.81252,314.289,372.114,147.628,2.29812,45.7219,44.5773,4.27943,3.69367e-05,121.143,124.253,16,2,-5.45868,
As12Os4Th1,204,cI34,0.0827,insulator-indirect,18.976,9.73855,322.591,382.042,148.564,2.25601,48.2414,47.1598,4.88737,3.36749e-05,134.353,137.434,17,3,-5.91651,
As12Rh4,204,cI32,0.0,metal,19.647,6.92356,314.352,382.906,151.994,2.28163,45.6804,44.3927,3.73202,4.20118e-05,104.956,108.0,16,2,-4.939,
As12Rh4,204,cI32,0.0,metal,19.6633,6.91782,314.613,382.934,151.994,2.28234,45.6718,44.386,3.72947,4.19696e-05,105.019,108.061,16,2,-4.93896,
As14Re6,229,cI40,0.0,metal,17.4038,10.3337,348.075,350.04,128.941,2.19048,57.3721,56.1815,3.40014,3.20126e-05,151.636,154.85,20,2,-6.17653,
As16Mg24,206,cI80,1.4442,insulator-direct,24.1965,3.05745,967.861,331.993,97.0774,1.91353,117.691,113.221,1.12848,6.78077e-05,45.0842,46.8641,40,2,-3.44932,-0.632256
As16Mg24,206,cI80,1.4399,insulator-direct,24.2152,3.0551,968.607,335.905,98.247,1.91452,117.509,113.057,1.16847,6.7649e-05,45.1151,46.8916,40,2,-3.44938,-0.632318
As16Mg4,92,tP20,0.8107,insulator-indirect,24.0914,4.46633,481.828,310.031,114.205,2.03559,59.1876,57.0202,1.84899,6.15124e-05,53.6079,55.6455,20,2,-4.27147,-0.230833
As1B1,216,cF8,1.2021,insulator-indirect,13.9755,5.09322,27.9511,651.136,516.699,1.96331,4.90384,4.7986,47.6931,3.71673e-05,123.416,126.123,2,2,-5.69281,-0.019969
As1B2P1,115,tP4,1.0623,insulator-indirect,12.8141,4.13108,51.2564,792.836,499.559,1.87371,8.80802,8.65716,43.4143,3.10505e-05,138.227,140.636,4,3,-6.05931,-0.218534
As1Ba1Li1,187,hP3,0.5946,insulator-direct,27.6508,4.38779,82.9525,243.866,169.18,1.92501,9.20011,8.72781,4.2689,9.17708e-05,30.2214,31.8568,3,3,-3.7721,-0.944944
As1Ba1Pd1,187,hP3,0.0,metal,26.6925,6.60776,80.0776,207.946,144.219,2.25754,9.19135,8.79988,2.68432,6.43656e-05,52.9486,55.304,3,3,-4.02933,
As1Br3Ca3,221,cP7,1.665,insulator-direct,30.278,3.40712,211.946,265.154,138.531,1.98612,21.2871,20.2459,2.54234,8.48498e-05,30.5555,32.127,7,3,-4.01348,-1.8099
As1Ca3Cl3,221,cP7,1.838,insulator-direct,27.6449,2.58734,193.514,330.983,173.033,1.96516,20.8105,19.8348,3.41371,8.21141e-05,33.4761,35.1227,7,3,-4.31763,-2.02945
As1Ca3N1,221,cP5,0.716,insulator-direct,21.7063,3.2003,108.531,459.154,268.425,1.93384,13.8743,13.4153,10.5807,5.85184e-05,55.6045,57.5069,5,3,-4.88987,-1.095
As1Cd1Li1,216,cF12,0.0,metal,21.1037,5.09542,63.3112,278.91,193.448,2.12251,9.20145,8.64689,4.19656,9.84797e-05,39.9161,42.4761,3,3,-2.82536,
As1Cd1Li1,216,cF12,0.0,metal,19.0758,5.63711,57.2274,85.9258,59.6291,2.15013,9.6713,8.96688,0.115071,0.000117423,39.3191,42.4079,3,3,-2.56224,
As1Cd1Pd5,123,tP7,0.0,metal,16.3721,10.4226,114.605,251.925,131.735,2.59842,21.1584,20.3112,1.64888,5.26702e-05,119.041,124.005,7,3,-3.05375,
As1Cd1Pt5,123,tP7,0.0,metal,16.5383,16.6785,115.768,238.03,124.416,2.57511,20.968,20.3763,2.28711,3.71189e-05,168.313,173.201,7,3,-3.61037,
